id,text,labels
24590,@USER @USER @USER @USER @USER Hahah a left telling a right he is making everything political.. too f’n funny!,0
19287,@USER @USER I’m glad you do babe (I kiss you back) now let’s get going you are coming tomorrow to the final right babe,0
44676,@USER And I have concerns with”Democrats”,0
96110,@USER AS IT SHOULD BE!,0
51557,@USER @USER A horrendous act of course. Conservatives lie like they breath and are just generally awful human beings. I don’t doubt the victims story even a tiny bit,1
65691,@USER @USER Isnt the NRA that propaganda pushing corporate lobby group that cares about profits and only profits? No idea who the rest of these crackpots are. That guy looks like he has an AR15 stuck up his ass.,1
15657,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Fluffy was found 🐈❤️💙🐾‼️,0
37753,@USER @USER LMAOOO fucking love you see you hotties soon xox,1
33797,@USER Another uninformed,0
30091,@USER We've got a big story coming out (most probably next week) about the Communist origins of Antifa. I hope you can join us @USER,0
55028,@USER He should be removed with the rest of the islamic invaders.,1
87412,"@USER Rosie hugs him tight Hello Angy."" She smiled happy ""Im so happy that she is back and I bet you Levi will be here in a few seconds."" Levi walks in and gasps ""ROSIE!"" Levi ran over making Jack smile""",0
63262,@USER @USER @USER don’t perpetuate colonialism. If you are going to talk about #puertorico you must have Puerto Ricans in the panel! Jeezuz.fucking.christ! How difficult can that be? #diásporaenresistencia URL,0
97608,@USER @USER @USER Even those who voted leave did not vote for this @USER @USER,0
17536,@USER Funny how he thinks he is soooo important...not...😂,0
36557,20180917: Don Pittis CBC: Is the People's Party of Canada liberal? It depends on the definition URL,0
66467,@USER I just know my family lives out west. Hard core conservatives. They love Bernier. All their friends love him. That is going to split the party. Alberta is huge PC block. Not my politics but you can’t choose family. 🙄,0
63995,@USER Eric who? Never heard of him. Must work for CNN,0
19765,"@USER  How did Britain end up upside down in the ditch with all four wheels spinning lazily in the air?""  How could it not, with the rabid wealth thirsty @USER drunk on power, at the wheel?  #BritishToryCarCrash #ToriesOut""",0
75391,@USER @USER @USER @USER Hes comin for ur woolly bitches,1
89422,@USER @USER Quick Preview Summary:  Blame Democrats Blame Obama Blame gun control Blame blacks (passively) Blame Democrats,1
16311,@USER man can we hang out you are hilarious,0
33193,"@USER Suddenly BozoObama is NOT politician""...&amp; certainly NOT that HE &amp; BillAyers &amp;DISGRACED ErikHolder started Police brutality Antifa,BLM,OWS ""movements"" &amp; didn't fund our US military as B4 for 8 yrs,but GAVE WORLD SPONSER OF TERROR IRAN $170. bil... NOOO!; not ol' ISIS-LOVER 'Bama.""",0
76974,@USER @USER @USER Hmm cats and dogs are not raised as food. But I understand what you are saying.😊,0
53573,@USER @USER Now I see why the Conservatives love him!,0
13670,@USER It’s Good for our Gun Business. More Guns sell when these people bring up Gun Control. Keep up the Great Work. Guns for All.,1
79273,@USER Agree. People forgetting how good he is.,0
67181,@USER Aww. ☺️ I tried lol. She is such a smart ass though 😂,0
82136,@USER @USER Why didn't she save her grandfather in Puerto Rico if she had that kind of cash? Bc She is socialist.,0
61302,@USER @USER Sir now to Russia....Putin is broke and a little bit crazy...The paltry 1.7 Trillion GDP might cause desperate actions from his dying regime. Denuclearization in exchange for oil patch tech. Thats all they have.. Sir..MAGA,1
72281,@USER As we should declare ANTIFA a terrorists group and investigate all of it's members.,0
92488,@USER 🤦🏾‍♀️ she’s dead ass serious too. Smdh,0
13902,@USER Conservatives Are NOT his fan base have not been forever!!!!! Just trying to take out #Beto support and this is BS!!!,0
83999,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER More people scared of what the Liberals will think and say about them. This is rampant around conservatives.  The only ones who ever stopped giving them that power were the Trump movement and they absolutely won everything including the internets.,0
17691,@USER Fresh boy think he is strong 😂,0
13020,@USER @USER @USER Not by the tea leaves you use by simple logic. You know that thing that comes from common sense.  Right no you don't know.  Winning Deplorables MAGA God Bless you.,0
57645,@USER hey Samsung on your website you declined me. 2 times for credit I can afford your phone without your ass this is my second one maybe next time even though I hate iPhone I'll buy iPhone so screw you,1
37524,@USER I seriously have no more words for how fucked up he is. Every time I think I found the word he does something even more despicable &amp; disgusting. The best I can do is hope that he chokes in his own vomit for all of the stupid lies he's  told. Like a serial killer he has no soul..,1
33810,@USER Nope. Not going to miss his sorry ass at all.,1
34020,@USER And apparently Serena’s cheating and temper tantrum was the only pathway to this endeavor.,0
13253,@USER @USER @USER @USER @USER @USER Dirk isn't a plumber. He is top 25 all time. Dan Majerle and Danny Ainge shoudn't be mentioned in the same breath as him.,0
73170,@USER @USER Gail has dropped far if she is going after actors like Rob to deal with the frustration of being a has-been...,1
96177,@USER @USER @USER @USER @USER You just said publicly aligns with neo Nazis. I asked which and you can’t answer got it. Source for your “ambush tactics” please. By your definitions I’m not sure you know what a paramilitary is. Do you classify Antifa as paramilitary?,0
23197,@USER @USER confession. i was pregnant with your child after our second makeout. he is 7 years old tomorrow.,0
89012,@USER @USER Cube has shown in the past that he is not in control of this. The investors on the board run the show. And they are super cheap.,1
52729,@USER @USER I still can't believe that you are 51 years old and yes your mom gave you some great genes,0
75100,@USER The GOP has blood on their hands. GUN CONTROL!!!,1
63699,@USER @USER @USER Do it with quran and then we will see how much atheist and brave she is... hindus figured it out that this type of attention grabbing big boss wanna be people are not worth it...  Go live in your 2 minutes Prime Time covered life ... Lord krishna and his followers don't care,1
91405,@USER @USER @USER @USER @USER @USER @USER Did I say that 🤔 no  typical liberals,0
22481,@USER Gun control kills 3 more people.,1
24905,@USER  Mr. Woods....Please help if you will.  @USER has published an ANTIFA target list on his Twitter Account with names of high profile and other Trump supporters. I have reported this to Twitter. They have NOT suspended his account.,0
79622,@USER @USER @USER @USER @USER @USER Dear Lord. Do you have a CLUE what the Black Panthers stood for? The @USER STILL stands for SENSIBLE Gun control Laws.  We have LAWS already in place to prevent people who should NEVER own firearms from EVER obtaining them. NOW? Talk to your LEO about ENFORCING them. GUNS arent,0
10987,"@USER @USER Well, see, if I start talking at Dana about sensible gun control laws and she ignores me (or calls me a tragedy dry-humping whore"" as she did @USER then we aren't having a conversation. I'm just talking into the void.""",1
65036,@USER He is 💪💪💪,0
48697,@USER Hey genius Hitler was dead two years before Trump was born.,0
50561,@USER @USER @USER Mickie is 39 now? She is on her way out.,0
70402,"@USER @USER @USER @USER Families being separated at the border. In fact, the picture of children in cages that Liberals were using to show how evil"" Trump is was actually taken while OBAMA was President""",0
46107,.@USER @USER @USER @USER @USER @USER @USER  We did a great job of electing @USER and a terrible job of who we sent to congress to support him   Conservatives left frustrated as Congress passes big spending bills URL,0
81081,@USER @USER @USER She took a polygraph to prove something to her husband. I think they were in counseling because she is frigid with her husband and he wants to know why. So she made up a cockamamy story as a coverup for her current lesbian affair.,0
44275,@USER @USER @USER @USER He is an awesome dog. Almost worth the trip,0
49307,"@USER @USER If the conservatives"" aren't standing up against Dumpster's unconstitutional and illegal activities, then they are just as complicit as he, and henceforth, supporting the tangerine toddler's policies and actions. FFS, be Americans before party loyalists. Or else we all lose.""",0
71464,"@USER Anyway she is a man and a mother"" it's about time she gave it to an actual female. Congratulations to Naomi! She has class &amp; skills!""",0
22493,@USER I have backtraced your IP and have sent you information to AntiFa.,0
71133,@USER You are welcome. 👍,0
10036,@USER Chris You are just stiring the pot and it is a political dig. How about Texas how were things handled there. PR was a totally different situation.  How did you help?,0
70721,"@USER You act like that won't be fun for both of us.""  She contemplates getting down, he's been gone for a few minutes and she's just standing on a chair like a weirdo.   Just as she is about to get down she sees him walk through the door.   ""Technically I only thought about it.""""",0
86961,@USER Also he supports antifa,0
99630,@USER @USER #Westminster @USER #Tories @USER @USER @USER @USER Absolutely pathetic #appeasement 😠😠😠,1
57188,@USER you are amazing,0
88011,@USER Drill baby drill,0
20339,"@USER @USER @USER But what makes you think they are liberals?  There is nothing liberal about any of that.  These people spent the '90s insulting liberals, publicly humiliating black activists, and openly attacking the New Deal.  Where is the liberal"" part?  They passed GOP policies!""",1
16936,&gt;Literally runs through the wall. There was now a hole.  Master! You are okay? URL,0
16162,@USER If you want to #MAGA:  1. Stop Intellectual Property theft by China. 2. Pivot away from China and give business to other Asia countries. 3. Ask US business to move to other countries 4. Tax reciprocally 5. Make Xi look weak!  Demolish South China Sea. Xi is a crook!  @USER,1
33811,@USER @USER @USER Wasn't the organizer of the rally that killed someone it was someone that showed up just like the people that show up to antifa and black lives matter rallies cause violence and rioting everywhere they go,0
85083,@USER You 100% believe AB would be the player he is today without Big Ben?,0
93493,@USER I would Starfleet Antifa was here to witness.  RIP,0
71447,@USER @USER @USER @USER @USER @USER Deserved better,0
73969,@USER @USER @USER you are very creative :),0
32699,@USER @USER OMG!!! She is perfect!!!!!,0
59585,@USER Lmao good one ! Now listen up Sparky your wife is a disease she is a bought and paid for evil  soulless  propaganda arm for child murderers and Russian agents. So stick with your cutsie  tweets but I'd prepare for a long prison sentence if i were you.,1
60672,*goes to song suffragettes*  Waitress: “there’s a $15 minimum food and drinks charge” Me to waitress : “who do you think you are?”,0
43876,@USER Bullshit! My daughters and I watched the tennis match and sarrena got what she deserved. We are big Williams  fans. No one is above the game.,1
79562,@USER BE GONE THOT (no offence intended she is probably a very nice lady🙂),0
82666,@USER He is telling you he knows where his bum is. Writes “ass” with his bottom. What more proof of higher intelligence do you need?,1
92076,@USER Like ANTIFA.,0
27937,#british politics on #brexit (and in general) start to look like one gigantic benny hill episode  #may #BorisJohnson #brexiteers #corbyn #chequers #conservatives  all my sympathies to #fbpe #PeoplesVote,0
36876,@USER She does not remember? Of course she doesn’t! She is making it up as she goes and with the “ help” of her therapist and all the others that believes her BS story. Maybe if she gets hypnotized she will miraculously remember “ more details” #Freakingliars liberals obstructionist🤬,0
95600,@USER @USER trump may not be the one who started this mess but he can stop it. If he doesn't he is part of the problem.,1
39296,@USER Brilliant journalistic commentary here,0
58457,@USER @USER @USER 'Think she is one of the Demoncrats.  Hard to imagine that a sane (or living) person would vote for her.,0
42031,@USER Hate mongering is No solution for NFL KNEELERS - change up your playbook losers,1
63236,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,0
70012,@USER You are NO CHRISTIAN,0
38109,@USER what the fuck do you gain from posting on your private instead of your public,0
32147,"Kavanaugh Accuser Christine Blasey Ford May Testify Before Senate Judiciary Committee""  URL #TCOT #MAGA #RedNationRising""",0
51015,Bias Blockers: The New Glasses Made for #MAGA Racists and Homophobes — WATCH URL URL,1
34873,IN HONOR OF #ConstitutionDay  I PURCHASED A #TRUMP t-SHIRT AND A #MAGA HAT  #TRUMPTRAIN #LIBERTY #FREEDOM #AMERICA #USA #LIBERTY URL,0
13698,@USER That or she is an awfully good transvestite,1
99111,@USER @USER Omg!!! A good guy is now evil!!!! Same thing happening is America!!! The Globalist world leaders with all their money would have us believe what is evil is good and what is good is evil!! I’ve read that in the good book!!  For the end time!!!!,1